,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32,66Nmp3ztIMqX1j8yYtWl1X,Liggi,Ritviz,['Ritviz'],0.786,0.667,5,-8.272,1,0.0112,0.0533,0.074,0.688,102.05,181176,4
33,7mNZUnDWUDidWBFaUpVtOC,Chidiya,Vilen,['Vilen'],0.486,0.494,6,-8.56,1,0.715,0.0,0.109,0.414,179.975,253333,4
34,1udS0lQ0dypXEoKjP1JHwa,Heartquake,Papon,['Papon'],0.339,0.497,5,-8.904,1,0.727,2.18e-06,0.103,0.556,149.965,201254,3
35,3cFbAzmdJFaHWQpJEg2n7h,Manzil,The Local Train,['The Local Train'],0.517,0.875,11,-4.288,1,0.000112,0.00633,0.158,0.44,124.965,260629,4
36,6IskNuvBwK8YzFrjvXIp5h,Yeh Zindagi Hai,The Local Train,['The Local Train'],0.633,0.616,9,-7.395,1,0.126,0.0,0.078,0.7,131.072,249160,4
37,6wxm92a18bGEP5N4QusCIx,Mere Yaar,The Local Train,['The Local Train'],0.343,0.508,2,-9.748,1,0.191,0.000374,0.278,0.3,78.131,286720,4
38,3Gc4zbfvgZSBEfpd0aWEFb,Khudi,The Local Train,['The Local Train'],0.626,0.791,3,-6.502,1,0.0196,9.08e-05,0.106,0.538,127.037,297643,4
39,2sNMcxZh7AwImXtrv8UV3S,Bandey,The Local Train,['The Local Train'],0.658,0.621,8,-7.506,1,0.0112,0.000755,0.109,0.613,92.025,305336,4
40,4B5LQW1ydseberjELe4rrd,Bas Yahan,Vaibhav Malhotra,['Vaibhav Malhotra'],0.565,0.421,4,-8.681,1,0.772,0.0,0.0973,0.193,124.897,186000,4
41,72C7aUQECOhNtnD0AC36ua,They Don't Know About Us,One Direction,['One Direction'],0.512,0.754,0,-6.031,1,0.135,0.0,0.0881,0.336,147.89,201693,4
42,08P8lJZE9PvvTiUHlIRbiv,Ankahee,Amitabh Bhattacharya,['Amitabh Bhattacharya'],0.48,0.379,9,-10.934,1,0.744,0.000125,0.079,0.303,94.891,275455,4
43,122LPk5f66MPiggC0ZLlD1,Aankhon Hi Aankhon Ne,Mohit Chauhan,"['Mohit Chauhan', 'Palak Muchhal']",0.651,0.354,9,-8.652,1,0.679,0.0,0.0951,0.309,119.978,279604,4
44,4sqE2IIGxnsyiNQ7gD6UX8,Ankhon Hi Ankhon Mein,Mohit Chauhan,['Mohit Chauhan'],0.579,0.392,11,-9.854,1,0.466,1.53e-06,0.324,0.286,79.999,274767,4
45,7eqxhjVzyNsvg1OxmBbukQ,Iss Tarah,Clinton Cerejo,"['Clinton Cerejo', 'Dominique Cerejo']",0.812,0.527,11,-8.076,0,0.0607,0.0,0.1,0.805,110.962,182941,4
46,02sas1xqIwRm7iWSoHDvKe,Oh Love,Prateek Kuhad,['Prateek Kuhad'],0.633,0.743,7,-8.029,1,0.29,0.00696,0.0629,0.548,176.021,211193,4
47,25VBJM8MADuhjaHRnqFrvV,Into the Night,Prateek Kuhad,['Prateek Kuhad'],0.847,0.489,10,-7.926,1,0.494,0.0,0.071,0.839,120.018,183228,4
48,164OhifL9Eld1xMaptReyR,for your time - Audiotree Live Version,Prateek Kuhad,['Prateek Kuhad'],0.759,0.166,3,-14.199,1,0.918,0.000366,0.109,0.364,110.88,217670,4
49,3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,['John Legend'],0.422,0.264,8,-7.064,1,0.922,0.0,0.132,0.331,119.93,269560,4
50,2sHwSBNDZN2yjCtgwStYt1,Crush Culture,Conan Gray,['Conan Gray'],0.522,0.765,0,-5.395,1,0.146,0.0,0.0866,0.455,180.065,204120,4
51,6rfahvufEQDIVTHJIU2QQB,"For Aisha (Featured in ""The Sky Is Pink"")",MEMBA,"['MEMBA', 'EVAN GIIA', 'Nooran Sisters']",0.568,0.622,4,-6.548,1,0.063,0.0018,0.56,0.109,76.984,357931,4
