,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32,6nZiYSBwPQ7fYnVWkkkj4g,Kho Gaye Hum Kahan,Jasleen Royal,"['Jasleen Royal', 'Prateek Kuhad']",0.778,0.227,1,-16.191,1,0.983,0.14,0.113,0.38,116.033,213056,4
33,4kXkT9HF9ZfDjuv3LIKcwJ,"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,"['Ankur Tewari', 'Prateek Kuhad', 'Dhruv Bhola', 'Nikhil Vasudevan']",0.762,0.391,1,-11.735,1,0.867,0.000521,0.112,0.355,137.956,250000,3
34,6JHm7Da8ZX0KA5xZhXiaB2,Lost Without You,Ami Mishra,"['Ami Mishra', 'Anushka Shahaney']",0.543,0.723,1,-5.326,0,0.466,0.0,0.0738,0.292,145.779,336037,4
35,0OMETVKtbSo60jaunOVNl5,Stay A Little Longer,Anushka Shahaney,['Anushka Shahaney'],0.543,0.377,1,-7.609,1,0.722,0.0,0.11,0.292,90.024,302340,4
36,1gWtHDe403RuyZqhvSRcv8,Tune Kaha,Prateek Kuhad,['Prateek Kuhad'],0.362,0.763,3,-8.514,1,0.015,0.00481,0.237,0.431,187.291,216886,4
37,0defKES0cQIsig27CpfPWx,Baatein Karo,Vayu,['Vayu'],0.76,0.551,6,-7.273,1,0.85,0.000713,0.154,0.768,106.046,195309,3
38,3Frn3MJRQFvjCIbTbBUZCS,Jahaan Tu Chala,Jasleen Royal,['Jasleen Royal'],0.459,0.187,2,-15.631,1,0.879,0.00488,0.126,0.379,111.829,140305,4
39,6GT0oiQdjiYX91qgAMi7Vd,Nit Nit,Jasleen Royal,['Jasleen Royal'],0.442,0.412,10,-10.675,1,0.781,0.0237,0.15,0.235,176.019,246136,4
40,1TQZN2XJ7Igg6dybRsETfd,Gal Karke,Punjabi Tracks,"['Punjabi Tracks', 'Asees Kaur']",0.641,0.542,10,-8.048,1,0.756,0.0,0.146,0.443,156.172,180489,4
41,3uHisD8WxXOYLaxeOl098L,Teri Khair Mangdi,Bilal Saeed,['Bilal Saeed'],0.718,0.58,2,-5.149,0,0.602,0.0,0.196,0.31,97.979,225274,4
42,4iwLV4Fn3xXrkjU9b9GHK0,Look at the Lights,Vidya Vox,['Vidya Vox'],0.451,0.458,0,-9.071,0,0.696,0.0189,0.18,0.396,184.2,190000,4
43,7EPMILezRmD7gHhgx11e7k,Thandi Hawa,Ritviz,['Ritviz'],0.628,0.555,1,-12.152,0,0.0566,0.0111,0.16,0.518,194.815,203077,4
44,5gUQQHs7FszYDEx33swHqb,Poorna Swaraj,RollsRoy's,"[""RollsRoy's""]",0.726,0.424,0,-7.03,0,0.123,0.0,0.088,0.551,82.02,247958,4
45,6Hp2DLVDAHlLsh5y7pyrAg,Off,Vilen,['Vilen'],0.767,0.462,4,-8.567,0,0.0723,1.12e-06,0.0837,0.675,88.644,162000,4
46,2kRW9l26uGIrTrHkLTiYnM,Koi Nahi,Rupinn,"['Rupinn', 'Lisa Mishra']",0.705,0.735,8,-5.783,1,0.123,0.0,0.147,0.411,95.972,190745,4
47,3OhzHDnzyptJLdhShZhjtH,Kya Karoon,Shlok Chiplunkar,"['Shlok Chiplunkar', 'Dorwin John']",0.558,0.339,1,-12.449,0,0.339,0.00729,0.296,0.0977,108.761,270422,3
48,4nKc9yiwXWlEByq1oMfHU6,Dooriyan (feat. Kaprila),Dino James,"['Dino James', 'Kaprila']",0.778,0.474,9,-10.109,1,0.528,0.0,0.104,0.219,91.969,215217,4
49,7mNZUnDWUDidWBFaUpVtOC,Chidiya,Vilen,['Vilen'],0.486,0.494,6,-8.56,1,0.715,0.0,0.109,0.414,179.975,253333,4
50,1qIgUd06MYNCmLQSJCerT8,Rataan,Vilen,['Vilen'],0.739,0.355,5,-9.618,0,0.392,0.00218,0.0996,0.949,174.055,185000,4
51,5wfU3eM43UptY57VigdHzh,Be Free,Vidya Vox,['Vidya Vox'],0.724,0.639,3,-5.581,0,0.0476,8.36e-06,0.0595,0.602,95.039,207604,4
52,4MAUUamUaxrhu66DVTJg3c,Diamonds,Vidya Vox,"['Vidya Vox', 'Arjun']",0.437,0.7,2,-5.116,0,0.0176,0.0,0.17,0.349,132.64,185011,4
53,2pqPH34BNK9eTi2TBVSExL,Kuthu Fire,Vidya Vox,['Vidya Vox'],0.52,0.916,0,-3.616,0,0.0206,0.00101,0.0846,0.439,119.991,205118,3
54,1SoWan3koruhiath0MWbGn,Don't Let Me Down,Kurt Hugo Schneider,"['Kurt Hugo Schneider', 'Vidya Vox']",0.575,0.617,8,-6.665,0,0.0663,7.17e-05,0.0776,0.223,159.989,148875,4
55,2Yvo61WicgVinjoUOthyjx,Mad Dreams,Vidya Vox,['Vidya Vox'],0.656,0.722,6,-7.324,1,0.126,0.00129,0.123,0.688,151.953,191053,4
